url_len,who_is,https,js_len,js_obf_len,dot_count,www_count,embed_url_count,https_count,space_count,=_count,suspicious,tld_length,if_com,if_porn_u,if_safety_u,if_porn_d,if_google_d,if_cn,if_japan,if_korea
29,0,0,356.4,178.2,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
28,0,0,808.2,363.69,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
29,0,0,779.4,319.554,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
22,0,0,365.4,193.662,1,0,-1,0,0,0,0,2,0,0,0,0,0,0,1,0
29,0,0,392.4,200.124,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
39,0,0,418.5,326.43,2,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
35,1,0,764.1,695.331,1,0,-1,0,0,0,0,2,0,0,0,0,0,0,1,0
23,0,0,394.2,335.07,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,1,0
50,0,0,646.2,516.96,2,1,-1,0,0,0,1,3,1,0,0,0,0,0,0,0
29,1,0,360.9,277.893,2,1,-1,0,0,0,1,3,1,1,0,1,0,0,0,0
28,0,0,621.9,273.636,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
54,0,0,559.8,246.312,2,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
45,0,0,0.0,0.0,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
28,0,0,0.0,0.0,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
38,0,0,726.3,631.881,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
30,0,0,767.7,429.912,2,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
30,1,0,695.7,313.065,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
35,0,0,821.7,624.492,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
37,0,0,783.9,486.018,3,1,-1,0,0,0,0,6,0,0,0,0,0,0,0,0
41,0,0,778.5,358.11,2,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
29,0,0,405.0,336.15,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
59,1,0,720.0,360.0,3,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
