who_is,https,js_len,host_len,www_count,shortened_url,https_count,http_count,-_count,=_count,special-Count,tld_length,if_org_or_gov,if_ali_u,if_google_u,if_ali_d,if_google_d,if_japan,if_aus,if_india,if_korea
0,0,356.4,21,1,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0
0,0,808.2,21,1,0,0,1,2,0,7,3,0,0,0,0,0,0,0,0,0
0,0,779.4,21,1,0,0,1,1,0,7,2,0,0,0,0,0,0,0,0,0
0,0,365.4,14,0,0,0,1,1,0,6,2,0,0,0,0,0,1,0,0,0
0,0,392.4,21,1,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0
0,0,418.5,31,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0
1,0,764.1,9,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0
0,0,394.2,15,1,0,0,1,0,0,6,2,0,0,0,0,0,1,0,0,0
0,0,646.2,17,1,0,0,1,0,0,9,3,0,0,0,0,0,0,0,0,0
1,0,360.9,22,1,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0
0,0,621.9,20,1,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0
0,0,559.8,18,0,1,0,1,0,0,8,3,0,0,0,0,0,0,0,0,0
0,0,0.0,22,1,0,0,1,0,0,7,3,0,0,0,0,0,0,0,0,0
0,0,0.0,20,1,0,0,1,0,0,6,3,0,0,0,0,0,0,0,1,0
0,0,726.3,31,1,0,0,1,3,0,8,3,0,0,0,0,0,0,0,0,0
0,0,767.7,22,1,0,0,1,0,0,6,3,0,1,0,1,0,0,0,0,0
1,0,695.7,22,1,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0
0,0,821.7,27,1,0,0,1,2,0,8,3,0,0,0,0,0,0,0,1,0
0,0,783.9,29,1,0,0,1,0,0,7,6,0,0,0,0,0,0,0,1,0
0,0,778.5,18,1,0,0,1,1,0,8,3,0,0,0,0,0,0,0,0,0
0,0,405.0,21,1,0,0,1,1,0,7,2,0,0,0,0,0,0,0,0,0
1,0,720.0,23,0,0,0,1,0,0,9,3,0,0,0,0,0,0,0,0,0
0,0,662.4,13,1,0,0,1,0,0,5,2,0,0,0,0,0,1,0,0,0
0,0,593.1,16,1,0,0,1,0,0,7,3,0,0,0,0,0,0,0,1,0
