url_len,who_is,https,js_len,www_count,embed_url_count,count@,shortened_url,http_count,space_count,?_count,suspicious,tld_length,if_com,if_porn_u,if_safety_u,if_ali_d,if_jd_d,if_usa,if_india,if_africa,if_korea
29,0,0,356.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
28,0,0,808.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
29,0,0,779.4,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
22,0,0,365.4,0,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
29,0,0,392.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
39,0,0,418.5,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
35,1,0,764.1,0,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
23,0,0,394.2,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
50,0,0,646.2,1,-1,0,0,1,0,0,1,3,1,0,0,0,0,1,0,0,0
29,1,0,360.9,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0
28,0,0,621.9,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
54,0,0,559.8,0,-1,0,1,1,0,0,0,3,1,0,0,0,0,1,0,0,0
45,0,0,0.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
28,0,0,0.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0
38,0,0,726.3,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
30,0,0,767.7,1,-1,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0
30,1,0,695.7,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
35,0,0,821.7,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0
37,0,0,783.9,1,-1,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0
41,0,0,778.5,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
29,0,0,405.0,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
59,1,0,720.0,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
20,0,0,662.4,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
33,0,0,593.1,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,0,1,0,0
27,0,0,486.0,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
36,0,0,315.9,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0
61,0,1,408.6,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
38,0,0,770.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
21,0,0,492.3,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
40,0,0,544.5,0,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
44,1,0,653.4,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
27,0,0,613.8,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
28,0,0,692.1,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
44,0,0,620.1,1,-1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0
37,0,0,386.1,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
34,0,0,792.0,0,-1,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0
35,0,1,518.4,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0
57,0,0,497.7,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,1,0,0,0
22,0,0,455.4,1,-1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0
29,0,1,569.7,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
20,0,0,638.1,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
72,0,0,798.3,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
32,0,1,819.9,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
22,0,0,824.4,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
24,0,1,592.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
